"Process:"	"Lab-08a.exe"
"PID:"	"2168"

"Type"	"Size"	"Committed"	"Private"	"Total WS"	"Private WS"	"Shareable WS"	"Shared WS"	"Locked WS"	"Blocks"	"Largest"	
"Total"	"4 245 412"	"11 600"	"568"	"4 580"	"464"	"4 116"	"4 116"	""	"78"	""
"Free"	"137 434 708 160"	""	""	""	""	""	""	""	"11"	"135 488 239 936"
"Heap"	"1 480"	"168"	"104"	"108"	"104"	"4"	"4"	""	"5"	"1 024"
"Image"	"9 848"	"9 824"	"240"	"3 980"	"160"	"3 820"	"3 820"	""	"42"	"4 040"
"Managed Heap"	""	""	""	""	""	""	""	""	""	""
"Mapped File"	"1 140"	"1 140"	""	"80"	""	"80"	"80"	""	"7"	"844"
"Page Table"	"164"	"164"	"164"	"164"	"164"	""	""	""	""	""
"Private Data"	"4 229 268"	"32"	"32"	"28"	"20"	"8"	"8"	""	"9"	"4 194 432"
"Shareable"	"1 252"	"244"	""	"204"	""	"204"	"204"	""	"12"	"1 024"
"Stack"	"1 024"	"28"	"28"	"16"	"16"	""	""	""	"3"	"1 024"
"Unusable"	"1 236"	""	""	""	""	""	""	""	""	"60"

"Address"	"Type"	"Size"	"Committed"	"Private"	"Total WS"	"Private WS"	"Shareable WS"	"Shared WS"	"Locked WS"	"Blocks"	"Protection"	"Details"	
"  00007FFF5B039000"	"Image (ASLR)"	"12"	"12"	"12"	"12"	"12"	""	""	""	""	"Read/Write"	".data"
"  00007FFF5B03C000"	"Image (ASLR)"	"76"	"76"	""	""	""	""	""	""	""	"Read"	".pdata"
"  00007FFF5B04F000"	"Image (ASLR)"	"4"	"4"	""	"4"	""	"4"	"4"	""	""	"Read"	".rsrc"
"  00007FFF5B050000"	"Image (ASLR)"	"4"	"4"	""	""	""	""	""	""	""	"Read"	".reloc"
"00007FFF9B260000"	"Image (ASLR)"	"184"	"184"	"4"	"52"	"8"	"44"	"44"	""	"5"	"Execute/Read"	"C:\Windows\System32\vcruntime140d.dll"
"  00007FFF9B260000"	"Image (ASLR)"	"4"	"4"	""	"4"	""	"4"	"4"	""	""	"Read"	"Header"
"  00007FFF9B261000"	"Image (ASLR)"	"128"	"128"	""	"24"	""	"24"	"24"	""	""	"Execute/Read"	".text"
"  00007FFF9B281000"	"Image (ASLR)"	"4"	"4"	""	""	""	""	""	""	""	"Execute/Read"	"fothk"
"  00007FFF9B282000"	"Image (ASLR)"	"24"	"24"	"4"	"16"	"4"	"12"	"12"	""	""	"Read"	".rdata"
"  00007FFF9B288000"	"Image (ASLR)"	"4"	"4"	"4"	"4"	"4"	""	""	""	""	"Read/Write"	".data"
"  00007FFF9B289000"	"Image (ASLR)"	"8"	"8"	""	""	""	""	""	""	""	"Read"	".pdata"
"  00007FFF9B28B000"	"Image (ASLR)"	"4"	"4"	""	""	""	""	""	""	""	"Read"	"_RDATA"
"  00007FFF9B28C000"	"Image (ASLR)"	"4"	"4"	""	"4"	""	"4"	"4"	""	""	"Read"	".rsrc"
"  00007FFF9B28D000"	"Image (ASLR)"	"4"	"4"	""	""	""	""	""	""	""	"Read"	".reloc"


